排名,ID,方法,类别,启动成本,难度1-5,验证周期天,保守月营收,中性月营收,乐观月营收,杠杆1-5,综合分,参考报价,最小验证
11,14,CRM 清洗、去重与生命周期提醒,数据与运营服务,¥0–200,1,7,1500,12000,32000,4,4.7,"审计 ¥1,500–3,000；实施 ¥3,000–10,000；维护 ¥600–2,000/月","1 个客户为只读审计加 100 条样本迁移实际注资/支付 ¥1,500；付款只验证购买意愿，不是技术通过条件"
12,16,Google Business Profile 月度运营,本地商业增长,¥0–300,1,7,1800,12000,36000,4,4.7,"¥1,500–4,500/月/地点","1 个客户为一个地点首月运营实际注资/支付 ¥1,800；付款只验证购买意愿，不是技术通过条件"
13,33,Grants.gov 资助匹配与截止日提醒,公共数据情报,¥0–300,2,10,799,7990,28000,5,4.7,"¥399–1,499/月；定制匹配报告 ¥1,000–3,500",给 3 个组织各做 5 条样报；至少 1 个以 ¥799 预订一个月，否则更换细分
14,3,共享邮箱分类与回复草稿,AI与业务自动化,¥50–400,2,10,3500,15500,43000,5,4.6,"设置 ¥4,000–10,000；维护 ¥1,200–3,500/月","1 个客户为 100 封脱敏邮件影子试点实际注资/支付 ¥3,500；付款只验证购买意愿，不是技术通过条件"
15,25,Shopify 弃单、购后与复购自动化配置,电商增长,¥0–200,1,10,3500,17000,48000,4,4.6,"设置 ¥4,000–12,000；优化 ¥1,500–4,000/月","1 个客户为欢迎、弃单、购后三条流程设置实际注资/支付 ¥3,500；付款只验证购买意愿，不是技术通过条件"
16,4,客服工单优先级与 SLA 升级,AI与业务自动化,¥100–500,2,10,4500,21000,59000,5,4.5,"设置 ¥5,000–15,000；监控 ¥1,500–5,000/月","1 个客户为 200 条工单影子试点实际注资/支付 ¥4,500；付款只验证购买意愿，不是技术通过条件"
17,50,Shopify 数字商品附件与交付审计,电商增长,¥0–200,1,10,1505,8500,24000,4,4.5,"Upwork 20 商品试点 US$215；后续审计 ¥1,500–5,000；月度复检 ¥500–1,500","先审计 5 个商品并展示 1 条真实映射缺口；1 个客户购买并全额注资一个 US$215 Upwork Project Catalog 试点（按 US$1=¥7 为 ¥1,505）"
18,8,成交后客户 Onboarding 自动化,AI与业务自动化,¥0–300,2,10,4000,17500,47000,5,4.45,"设置 ¥5,000–15,000；维护 ¥800–2,500/月","1 个客户为单产品 onboarding 试点实际注资/支付 ¥4,000；付款只验证购买意愿，不是技术通过条件"
19,26,Shopify 多语店面本地化 QA,内容与本地化,¥0–300,1,14,4000,18000,48000,4,4.45,"¥4,000–15,000/语言/店；复检 ¥800–2,000/月","1 个客户为一个 collection、20 SKU、一个语言 QA 试点实际注资/支付 ¥4,000；付款只验证购买意愿，不是技术通过条件"
20,29,中小企业网络安全卫生基线,网站技术服务,¥0–300,1,10,4000,16000,43000,4,4.45,"基线 ¥4,000–12,000；季度复检 ¥1,500–4,000","1 个客户为 10 项基线试点注资/支付 ¥4,000"
21,2,会议转写到 CRM 与任务自动化,AI与业务自动化,¥0–300,1,7,2000,11000,30000,5,4.4,"设置 ¥3,000–8,000；监控 ¥800–2,000/月","1 个客户为 5 场会议影子试点实际注资/支付 ¥2,000；付款只验证购买意愿，不是技术通过条件"
22,17,Webinar/Podcast 多渠道内容包,内容与本地化,¥0–300,1,5,2500,16000,45000,4,4.4,"¥2,500–8,000/期；¥6,000–20,000/月","1 个客户为一场 Webinar/Podcast 内容包实际注资/支付 ¥2,500；付款只验证购买意愿，不是技术通过条件"
23,19,电商目录、Variant 与属性清洗,电商增长,¥0–200,1,14,3000,15000,42000,4,4.4,"审计 ¥2,000–5,000；全量 ¥5,000–20,000","1 个客户为 100 SKU 审计和 20 SKU 样本修复实际注资/支付 ¥3,000；付款只验证购买意愿，不是技术通过条件"
24,21,Product/Offer/ReturnPolicy 结构化数据实施,电商增长,¥0–100,1,10,4000,14000,38000,4,4.4,"¥4,000–12,000/模板；维护 ¥500–1,500/月","1 个客户为 5 URL 固定范围试点注资/支付 ¥4,000"
25,23,Core Web Vitals 快修 Sprint,网站技术服务,¥0–150,1,10,4000,19000,52000,4,4.4,"¥4,000–18,000/Sprint；监测 ¥500–1,500/月","1 个客户为一个模板、5 个 URL 的 Sprint 实际注资/支付 ¥4,000；付款只验证购买意愿，不是技术通过条件"
26,41,Census 建筑许可热点报告,公共数据情报,¥0–300,2,14,999,6990,24000,5,4.35,"¥999–4,000/报告；¥499–1,499/月",给 5 个本地服务商一页免费样板；1 个以 ¥999 购买完整州报告
27,45,创作者赞助 Media Kit 与收入 Tracker,数字产品,¥0–300,1,14,569,4063,15189,5,4.35,"Patreon 基础 US$19；专业 US$59；定制服务 ¥1,500–5,000",在一个真实创作者社群展示 6 页预览；5 人在 Patreon 各付 US$19 founding price 才完成扩展包
28,37,Companies House 新注册企业 SIC 垂直线索,公共数据情报,¥0–300,2,10,699,6990,24000,5,4.3,"¥499–1,499/月；定制 ¥1,000–3,000",50 条样本公司级准确率至少 95%；找 3 个服务商，1 个预付 ¥699/月
29,5,网站 FAQ/RAG 客服机器人,AI与业务自动化,¥100–800,2,14,5000,26000,72000,5,4.25,"设置 ¥6,000–18,000；维护 ¥1,500–5,000/月","1 个客户为 20–50 份文档和 50 问固定范围试点实际注资/支付 ¥5,000；付款只验证购买意愿，不是技术通过条件"
30,7,提案与报价草稿生成器,AI与业务自动化,¥0–300,1,7,3000,13500,36000,5,4.25,"设置 ¥3,500–10,000；维护 ¥600–2,000/月","1 个客户为 10 份提案回放试点实际注资/支付 ¥3,000；付款只验证购买意愿，不是技术通过条件"
31,9,预约提醒与爽约降低工作流,AI与业务自动化,¥0–200,1,7,1800,8500,22000,4,4.25,"设置 ¥2,000–5,000；维护 ¥500–1,500/月","1 个客户为 1 个 event type、最多 50 个预约的试点实际注资/支付 ¥1,800；付款只验证购买意愿，不是技术通过条件"
32,12,PDF/邮件订单结构化入库,AI与业务自动化,¥100–600,2,14,5000,26000,70000,5,4.25,"设置 ¥6,000–18,000；¥0.5–3/文档或 ¥2,000–8,000/月","1 个客户为 100 份脱敏文档离线试点实际注资/支付 ¥5,000；付款只验证购买意愿，不是技术通过条件"
33,13,NPS/CSAT/评论主题洞察月报,数据与运营服务,¥0–300,2,10,2500,14500,40000,4,4.25,"首报 ¥3,000–10,000；持续 ¥1,500–5,000/月","1 个客户为首月反馈洞察报告实际注资/支付 ¥2,500；付款只验证购买意愿，不是技术通过条件"
34,31,SAM.gov 垂直投标提醒与 Bid/No-Bid 摘要,公共数据情报,¥0–500,2,10,699,6990,24900,5,4.25,"¥399–1,499/月；定制报告 ¥1,500–3,500",手工跑 7 天并让 3 个目标客户看样报；至少 1 人预付 ¥699/月，否则换垂直
35,38,openFDA 食品召回关键词监控,公共数据情报,¥100–700,2,14,1500,9500,32000,5,4.25,"审计 ¥1,500–5,000；监控 ¥699–2,999/月","30 条预定义分层金标中 10 条已知相关全部召回，精确率有记录且所有候选 100% 回链；1 客户付 ¥1,500 审计费"
36,49,Patreon Shopify 本地化与无障碍周报,数字产品,¥0–300,2,14,264,2762,8813,5,4.25,个人 US$9/月；代理商 US$39/月；人民币只作 US$1=¥7 的模型换算,发布 2 期免费样报；5 个真实成员在 Patreon 各付 US$9/月才继续 8 周
37,30,小型网站 WCAG 2.2 A/AA 重点项审计与修复 Sprint,网站技术服务,¥0–300,2,14,5000,20000,55000,4,4.15,"¥5,000–20,000/Sprint；复检 ¥1,000–3,000","1 个客户为 5 页重点项固定范围试点注资/支付 ¥5,000"
38,34,TED 欧盟招标中文垂直简报,公共数据情报,¥100–600,2,14,999,9990,35000,5,4.15,"¥699–2,499/月；定制 ¥2,000–6,000",给 5 家同垂直出口商发 3 条免费样报；至少 1 家预付 ¥999/月
39,36,SEC 8-K/10-K 企业事件销售情报,公共数据情报,¥100–500,2,14,999,8990,30000,5,4.15,"¥699–2,499/月；一次性清单 ¥1,500–4,000",人工核验 20 条 filing，事件字段全部有原文短摘和官方链接；给 3 名销售试用，至少 1 名预付 ¥999/月
40,6,内部 SOP 知识助手,AI与业务自动化,¥100–800,2,14,6000,32000,85000,5,4.05,"设置 ¥8,000–25,000；维护 ¥2,000–6,000/月","1 个客户为 20–50 份 SOP、30 个测试问题的固定范围试点注资/支付 ¥6,000"
41,42,Census 对美进口 HS6 机会简报,公共数据情报,¥0–500,2,14,1505,10000,35000,5,4.05,"Upwork 试点 US$215；后续 ¥1,500–8,000/份；月度 ¥999–2,999","用官方 API 做 1 页中国+2 个替代国样报并访谈 5 家工厂；1 家购买并注资 Upwork US$215 固定价试点（报告按 US$1=¥7 约 ¥1,505）才扩到 6 国/60 月"
42,47,Udemy 岗位化 AI Workflow 实战课,数字产品,"¥300–1,800",2,14,1001,5980,20000,5,4.05,Upwork 企业直播 US$143；Udemy 常见成交价按平台促销，直链成交讲师分成 97% 净额,"用完整大纲和 15 分钟样课在 Upwork Project Catalog 卖 1 个 US$143 全额注资企业直播试点（按 US$1=¥7 为 ¥1,001）；少于 1 个付费则换岗位，15 分钟样课不得提交 Udemy 审核"
43,35,Federal Register/Regulations.gov 监管变化雷达,公共数据情报,¥100–500,2,14,1200,12000,42000,5,4.0,"¥999–3,999/月/主题；定制 ¥2,000–8,000","回放过去 90 天，人工标注 20 条；给 3 个顾问试用，1 个预付 ¥1,200/月"
44,39,EPA ECHO DC 活跃重大设施检查/行动/罚款信号,公共数据情报,¥100–500,2,21,1200,10000,34000,5,4.0,"¥999–3,999/月；定制报告 ¥2,000–6,000","给 3 个环保垂直服务商展示 10 条免费样报；至少 1 个为 DC 30 天报告预付 ¥1,200"
45,18,YouTube 自动配音审核与本地化,内容与本地化,¥0–250,2,7,1500,12000,36000,4,3.95,"¥1,500–6,000/视频/语言；包月 ¥6,000–20,000","1 个客户为一个 10 分钟以内公开视频本地化 QA 试点实际注资/支付至少 ¥1,200；付款只验证购买意愿，不是技术通过条件"
46,32,USAspending 续约与 Incumbent 情报,公共数据情报,¥100–600,2,14,1500,8500,28000,5,3.95,"¥1,500–5,000/报告；¥699–1,999/月","做 20 条样报并访谈 3 个 BD；1 人预付 ¥1,500 才做自动化"
47,44,垂直行业 B2B Sales Deck 模板套件,数字产品,¥0–700,2,14,1008,5990,16975,5,3.95,"Upwork beta US$72；Creative Market 个人包 ¥199–499 等值外币；定制 ¥2,000–8,000","Day 7 前完成 8 页可即时交付 beta；2 个独立客户各自购买并全额注资一个 US$72 Upwork Project Catalog 订单，每单分别 Submit work 一次（按 US$1=¥7 合计 ¥1,008），Creative Market 不承接未完成商品预售"
48,46,Shopify 单行业商品图与 UGC 广告模板系统,数字产品,¥0–500,2,14,609,3988,17962,5,3.95,"Upwork beta US$29；Creative Market 行业包 ¥199–499 等值外币；定制 ¥2,000–6,000",Day 7 前完成 10 个可即时交付 beta；向 10 家同垂直商家展示，3 个独立客户各自购买并全额注资一个 US$29 Upwork Project Catalog 订单，每单分别 Submit work 一次（按 US$1=¥7 合计 ¥609）后扩成 30 个
49,40,CFPB 投诉主题与异常看板,公共数据情报,¥100–500,3,21,2000,12000,38000,5,3.75,"¥2,000–8,000/报告；¥999–3,999/月","先交一个产品的公开样板；3 个团队访谈中 1 个预付 ¥2,000 报告费"
50,48,KDP 30 天岗位化 AI 实验 Workbook,数字产品,"¥200–1,000",2,30,230,1840,6900,5,3.7,Kindle eBook US$9.99；发行后模型按每本约 ¥46 估算版税（70% 上限再预留 delivery/汇率差）,10 名免费 beta 读者中至少 5 名完成 Day 1–3；Day 20 上传终稿并设 Day 27 GMT 发行，Day 30 的净付费购买数=净预售单+发行后非预售净销量且不得重复计算，至少 5 单并确认 eBook 已 Live
